#   current (A)      field (T)
  -30.00000000    -1.50117712
  -29.00000000    -1.47400541
  -28.00000000    -1.44569432
  -27.00000000    -1.41557983
  -26.00000000    -1.38393623
  -25.00000000    -1.34993744
  -24.00000000    -1.31317838
  -23.00000000    -1.27330526
  -22.00000000    -1.22969897
  -21.00000000    -1.18377095
  -20.00000000    -1.13543388
  -19.00000000    -1.08473301
  -18.00000000    -1.03275236
  -17.00000000    -0.97821547
  -16.00000000    -0.92280620
  -15.00000000    -0.86567798
  -14.00000000    -0.80815342
  -13.00000000    -0.75028885
  -12.00000000    -0.69200192
  -11.00000000    -0.63446535
  -10.00000000    -0.57644119
   -9.00000000    -0.51767012
   -8.00000000    -0.45914262
   -7.00000000    -0.40198882
   -6.00000000    -0.34390529
   -5.00000000    -0.28612068
   -4.00000000    -0.22908129
   -3.00000000    -0.17160147
   -2.00000000    -0.11437052
   -1.00000000    -0.05739322
    0.00000000     0.00000000
    1.00000000     0.05678176
    2.00000000     0.11416569
    3.00000000     0.17158149
    4.00000000     0.22899179
    5.00000000     0.28617711
    6.00000000     0.34372008
    7.00000000     0.40165311
    8.00000000     0.45924495
    9.00000000     0.51755734
   10.00000000     0.57509724
   11.00000000     0.63354909
   12.00000000     0.69176739
   13.00000000     0.74988161
   14.00000000     0.80792862
   15.00000000     0.86614262
   16.00000000     0.92257839
   17.00000000     0.97821384
   18.00000000     1.03277178
   19.00000000     1.08513353
   20.00000000     1.13560261
   21.00000000     1.18402749
   22.00000000     1.22989145
   23.00000000     1.27337552
   24.00000000     1.31340085
   25.00000000     1.35009760
   26.00000000     1.38384012
   27.00000000     1.41567614
   28.00000000     1.44549754
   29.00000000     1.47391094
   30.00000000     1.50153622
