#  current (A)      field (T)
  -30.00000000    -2.79402691
  -29.00000000    -2.78273645
  -28.00000000    -2.77104779
  -27.00000000    -2.75879352
  -26.00000000    -2.74600123
  -25.00000000    -2.73260483
  -24.00000000    -2.71849232
  -23.00000000    -2.70358709
  -22.00000000    -2.68776850
  -21.00000000    -2.67086013
  -20.00000000    -2.65249916
  -19.00000000    -2.63212395
  -18.00000000    -2.60902126
  -17.00000000    -2.58287106
  -16.00000000    -2.55339957
  -15.00000000    -2.52004456
  -14.00000000    -2.48205460
  -13.00000000    -2.43810095
  -12.00000000    -2.38663703
  -11.00000000    -2.32534086
  -10.00000000    -2.24993412
   -9.00000000    -2.14531882
   -8.00000000    -1.97462915
   -7.00000000    -1.76044730
   -6.00000000    -1.51710823
   -5.00000000    -1.25988269
   -4.00000000    -1.00367352
   -3.00000000    -0.75018843
   -2.00000000    -0.50039147
   -1.00000000    -0.24998408
    0.00000000     0.00000000
    1.00000000     0.24994350
    2.00000000     0.49838393
    3.00000000     0.74959054
    4.00000000     1.00251610
    5.00000000     1.25887704
    6.00000000     1.51585420
    7.00000000     1.75907588
    8.00000000     1.97325176
    9.00000000     2.14338416
   10.00000000     2.24856954
   11.00000000     2.32421302
   12.00000000     2.38541233
   13.00000000     2.43699044
   14.00000000     2.48095504
   15.00000000     2.51896004
   16.00000000     2.55229780
   17.00000000     2.58175642
   18.00000000     2.60792259
   19.00000000     2.63102020
   20.00000000     2.65140637
   21.00000000     2.66977125
   22.00000000     2.68668390
   23.00000000     2.70251156
   24.00000000     2.71741657
   25.00000000     2.73153189
   26.00000000     2.74495188
   27.00000000     2.75773735
   28.00000000     2.76997385
   29.00000000     2.78168325
   30.00000000     2.79295050
